,Returns,Risk
0,0.008097325139818718,0.022871535693694173
1,0.008701594501396761,0.022886006055167846
2,0.009305863862974804,0.0229289656075458
3,0.009910133224552847,0.02300025256354446
4,0.01051440258613089,0.02309960489844212
5,0.011118671947708932,0.023226665068127154
6,0.011722941309286975,0.023380995832792406
7,0.012327210670865018,0.02356199817055538
8,0.01293148003244306,0.023770421975854394
9,0.013535749394021104,0.02401099810849292
10,0.014140018755599146,0.024283307909101888
11,0.01474428811717719,0.024582363552574888
12,0.015348557478755232,0.024905199735113574
13,0.015952826840333275,0.025250919810158
14,0.016557096201911318,0.02561849967562303
15,0.01716136556348936,0.026007135189320803
16,0.017765634925067404,0.026415837990817995
17,0.018369904286645446,0.026843770281367522
18,0.01897417364822349,0.027289906943093863
19,0.019578443009801532,0.027753483125999186
20,0.020182712371379575,0.02823336386159792
21,0.020786981732957618,0.028729294672754088
22,0.02139125109453566,0.029243941585448546
23,0.021995520456113703,0.02977780066343918
24,0.022599789817691746,0.030329975919523924
25,0.02320405917926979,0.030899235732445025
26,0.023808328540847832,0.03148466862624838
27,0.024412597902425875,0.032095125713071014
28,0.025016867264003918,0.032746692425481866
29,0.02562113662558196,0.0335068282121587
30,0.026225405987160003,0.03439289356160006
31,0.026829675348738046,0.03539532968930631
32,0.02743394471031609,0.036504603225038165
33,0.028038214071894132,0.03771328883135885
34,0.028642483433472175,0.03907252410927389
35,0.029246752795050217,0.04059499843849202
36,0.02985102215662826,0.042262937190793125
37,0.030455291518206303,0.04405982637645058
38,0.031059560879784346,0.045970575164519606
39,0.03166383024136239,0.047981562722953085
40,0.03226809960294043,0.050080718306365506
41,0.03287236896451848,0.05225742126885412
42,0.033476638326096514,0.05450237854714017
43,0.034080907687674564,0.0568074997486817
44,0.0346851770492526,0.05916575272128256
45,0.03528944641083065,0.061571108962584345
46,0.035893715772408685,0.06401804053858164
47,0.036497985133986735,0.06650216855366428
48,0.03710225449556477,0.06901944482510858
49,0.03770652385714282,0.07156626882446153
